"Notes","Month","Month Code","Infant Birth Weight 12","Infant Birth Weight 12 Code","Mother's Pre-pregnancy BMI","Mother's Pre-pregnancy BMI Code","Month Prenatal Care Began","Month Prenatal Care Began Code",Deaths,Births,Death Rate
,"January","1","499 grams or less","01","Normal 18.5-24.9","2","No prenatal care","00",15,21,714.29 (Unreliable)
,"January","1","499 grams or less","01","Normal 18.5-24.9","2","2nd month","02",47,51,921.57
,"January","1","499 grams or less","01","Normal 18.5-24.9","2","3rd month","03",24,24,1000.00
,"January","1","499 grams or less","01","Normal 18.5-24.9","2","4th month","04",16,19,842.11 (Unreliable)
,"January","1","499 grams or less","01","Overweight 25.0-29.9","3","2nd month","02",28,36,777.78
,"January","1","499 grams or less","01","Overweight 25.0-29.9","3","3rd month","03",19,24,791.67 (Unreliable)
,"January","1","499 grams or less","01","Overweight 25.0-29.9","3","Unknown or Not Stated","99",12,14,857.14 (Unreliable)
,"January","1","499 grams or less","01","Obesity I 30.0-34.9","4","2nd month","02",25,30,833.33
,"January","1","499 grams or less","01","Obesity I 30.0-34.9","4","3rd month","03",28,34,823.53
,"January","1","499 grams or less","01","Obesity I 30.0-34.9","4","4th month","04",17,18,944.44 (Unreliable)
,"January","1","499 grams or less","01","Obesity II 35.0-39.9","5","2nd month","02",20,21,952.38
,"January","1","499 grams or less","01","Obesity II 35.0-39.9","5","3rd month","03",13,16,812.50 (Unreliable)
,"January","1","499 grams or less","01","Extreme Obesity III > 39.9","6","2nd month","02",14,17,823.53 (Unreliable)
,"January","1","499 grams or less","01","Extreme Obesity III > 39.9","6","3rd month","03",13,17,764.71 (Unreliable)
,"January","1","499 grams or less","01","Unknown or Not Stated","9","Unknown or Not Stated","99",14,17,823.53 (Unreliable)
,"January","1","500 - 999 grams","02","Normal 18.5-24.9","2","No prenatal care","00",21,52,403.85
,"January","1","500 - 999 grams","02","Normal 18.5-24.9","2","2nd month","02",32,157,203.82
,"January","1","500 - 999 grams","02","Normal 18.5-24.9","2","3rd month","03",32,112,285.71
,"January","1","500 - 999 grams","02","Normal 18.5-24.9","2","4th month","04",13,40,325.00 (Unreliable)
,"January","1","500 - 999 grams","02","Overweight 25.0-29.9","3","2nd month","02",20,119,168.07
,"January","1","500 - 999 grams","02","Overweight 25.0-29.9","3","3rd month","03",22,89,247.19
,"January","1","500 - 999 grams","02","Obesity I 30.0-34.9","4","2nd month","02",19,82,231.71 (Unreliable)
,"January","1","500 - 999 grams","02","Obesity I 30.0-34.9","4","3rd month","03",13,83,156.63 (Unreliable)
,"January","1","500 - 999 grams","02","Obesity II 35.0-39.9","5","2nd month","02",12,54,222.22 (Unreliable)
,"January","1","1500 - 1999 grams","04","Overweight 25.0-29.9","3","3rd month","03",12,393,30.53 (Unreliable)
,"January","1","2000 - 2499 grams","05","Normal 18.5-24.9","2","3rd month","03",10,1953,5.12 (Unreliable)
,"January","1","2000 - 2499 grams","05","Overweight 25.0-29.9","3","3rd month","03",12,1353,8.87 (Unreliable)
,"January","1","2500 - 2999 grams","06","Normal 18.5-24.9","2","2nd month","02",21,8457,2.48
,"January","1","2500 - 2999 grams","06","Normal 18.5-24.9","2","3rd month","03",16,7585,2.11 (Unreliable)
,"January","1","2500 - 2999 grams","06","Normal 18.5-24.9","2","4th month","04",11,2376,4.63 (Unreliable)
,"January","1","2500 - 2999 grams","06","Overweight 25.0-29.9","3","2nd month","02",15,5191,2.89 (Unreliable)
,"January","1","2500 - 2999 grams","06","Overweight 25.0-29.9","3","3rd month","03",13,5043,2.58 (Unreliable)
,"January","1","2500 - 2999 grams","06","Obesity I 30.0-34.9","4","2nd month","02",11,3234,3.40 (Unreliable)
,"January","1","3000 - 3499 grams","07","Normal 18.5-24.9","2","2nd month","02",15,16600,0.90 (Unreliable)
,"January","1","3000 - 3499 grams","07","Normal 18.5-24.9","2","3rd month","03",12,15255,0.79 (Unreliable)
,"January","1","3000 - 3499 grams","07","Overweight 25.0-29.9","3","2nd month","02",11,10989,1.00 (Unreliable)
,"January","1","3000 - 3499 grams","07","Overweight 25.0-29.9","3","3rd month","03",12,10364,1.16 (Unreliable)
,"January","1","3000 - 3499 grams","07","Obesity I 30.0-34.9","4","2nd month","02",11,6781,1.62 (Unreliable)
,"January","1","3000 - 3499 grams","07","Obesity II 35.0-39.9","5","3rd month","03",12,3160,3.80 (Unreliable)
,"January","1","3500 - 3999 grams","08","Overweight 25.0-29.9","3","3rd month","03",10,7402,1.35 (Unreliable)
,"January","1","3500 - 3999 grams","08","Obesity I 30.0-34.9","4","2nd month","02",13,4822,2.70 (Unreliable)
,"February","2","499 grams or less","01","Normal 18.5-24.9","2","No prenatal care","00",13,17,764.71 (Unreliable)
,"February","2","499 grams or less","01","Normal 18.5-24.9","2","2nd month","02",26,34,764.71
,"February","2","499 grams or less","01","Normal 18.5-24.9","2","3rd month","03",25,30,833.33
